온도,반응시간,Scale,이론 고형분(%),monomer_BA,monomer_2-EHA,monomer_CHMA,monomer_AA,monomer_MMA,monomer_IBOMA,monomer_2-HEMA,monomer_HDDA,monomer_GMA,monomer_LMA,monomer_EMA,monomer_BMA,monomer_EA,monomer_IBOA,monomer_MA,monomer_2-HEA,monomer_b-CEA,monomer_4-HBA,monomer_IBXA,monomer_NOAA,monomer_MEDOL-10,monomer_AOMA,monomer_DPPA,monomer_POEA,monomer_MAA,monomer_AN,monomer_St,monomer_LA,monomer_2-PEA,monomer_DCPA,monomer_EDMA,monomer_HPA,chem_avg_tg,chem_avg_mw,chem_avg_polarity,수율(%),점도(cP),Tg,입도(nm)
83.0,,330.29,0.46,39.35,39.35,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.534,157.531855,0.130075,0.62,40.0,-40.04,
83.0,,329.88,0.46,38.1,38.1,0.0,1.3,0.0,20.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50899999999996,167.54703,0.14095000000000002,0.69,50.0,,
83.0,,329.83,0.46,38.18,38.18,0.0,1.3,0.0,20.0,2.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.3737776222378,167.63022697730224,0.14083591640835916,0.62,200.0,,
83.0,,526.74,0.48,88.5,0.0,0.0,2.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.46,124.24275,0.18225,0.98,700.0,-39.9,
83.0,,525.94,0.48,89.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.66,124.52329999999999,0.1785,0.8,250.0,-40.74,
83.0,,556.27,0.46,68.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.05,118.63279999999999,0.21000000000000002,0.85,300.0,-12.98,
83.0,,550.37,0.47,68.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.05,118.63279999999999,0.21000000000000002,0.76,400.0,-12.98,
83.0,,329.21,0.47,39.1,39.1,20.0,1.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.969,157.25073,0.13045,0.68,50.0,,
83.0,,329.05,0.47,39.18,39.18,20.0,1.3,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.8349315068493,157.33495650434958,0.13033696630336966,0.58,50.0,,
83.0,,314.9,0.48,44.85,44.85,0.0,1.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.36399999999998,150.081405,0.150825,0.64,50.0,-46.2,
83.0,,314.79,0.48,67.28,22.42,0.0,1.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.95280000000002,137.49593199999998,0.16204000000000002,0.67,50.0,-43.84,
83.0,,327.86,0.47,0.0,78.7,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.238,179.61114000000003,0.11040000000000001,0.52,100.0,,
83.0,,328.62,0.47,20.0,78.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.63800000000003,171.59914000000003,0.12040000000000001,0.64,200.0,,
83.0,,328.58,0.47,0.0,78.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.438,196.84714000000002,0.1004,0.62,50.0,,
